Year,Country,"Proceeds Amount + Over Sold This Market (USD, mln)",IPO market share,IPOs Number of Issues,P/E Ratio,E/P ratio,Stock Market Index,  Interest rate Non Financial Corp New Other Loans up to €1M up to 1 Year Fixed,Interest rate Non Financial Corp New Other Loans over €1M up to 1 Year Fixed,Aver _nterest_rate_to_nonfinance,Real GDP Growth (%),Nominal GDP ($B),Population (M),Population_Growth(%),GDP_Per_Capita ($),Real Private Consumption Growth (%),Real Government Consumption Growth (%),Real Gross Fixed Investment Growth (%),"Real Gross Fixed Investment, LCU (BGNB)",Industrial Production Growth (%),,,,,,,,,,,,,,
2014,Bosnia,0.00,0.00,0,170.3331,0.006,NA,7.032,NA,7.032,1.10,19.62,3.57,(1.29),"5,493.57",1.92,1.49,11.97,6.19,0.18,,,,,,,,,,,,,,
2015,Bosnia,0.00,0.00,0,23.1888,0.043,NA,6.377,4.522,5.4495,4.10,17.21,3.52,(1.31),"4,882.82",1.61,0.06,(2.48),6.04,3.10,,,,,,,,,,,,,,
2016,Bosnia,0.00,0.00,0,58.6229,0.017,NA,5.968,5.455,5.7115,3.74,17.89,3.48,(1.23),"5,140.15",2.20,0.02,5.43,6.37,4.40,,,,,,,,,,,,,,
2017,Bosnia,0.00,0.00,0,29.3573,0.034,NA,5.217,3.577,4.397,3.81,19.12,3.44,(1.18),"5,556.67",1.10,1.44,7.86,6.87,3.14,,,,,,,,,,,,,,
2018,Bosnia,0.00,0.00,0,17.567,0.057,NA,4.351,3.226,3.7885,4.63,21.09,3.40,(1.16),"6,202.84",2.60,2.20,8.08,7.42,1.60,,,,,,,,,,,,,,
2019,Bosnia,0.00,0.00,0,23.0589,0.043,NA,3.659,3.135,3.397,2.25,20.91,3.36,(1.16),"6,223.23",2.31,1.01,5.84,7.86,(5.33),,,,,,,,,,,,,,
2020,Bosnia,0.00,0.00,0,32.3676,0.031,NA,3.264,2.715,2.9895,(2.88),20.73,3.32,(1.26),"6,246.35",(3.47),1.53,(4.15),7.53,(6.35),,,,,,,,,,,,,,
2021,Bosnia,0.00,0.00,0,16.19,0.062,NA,3.293,3.457,3.375,7.30,24.22,3.27,(1.43),"7,404.22",4.17,2.86,5.07,7.91,9.73,,,,,,,,,,,,,,
2022,Bosnia,0.00,0.00,0,10.3891,0.096,NA,4.044,4.18,4.112,3.82,24.48,3.23,(1.14),"7,569.63",1.87,1.32,0.30,7.94,0.96,,,,,,,,,,,,,,
2023,Bosnia,0.00,0.00,0,10.9046,0.092,NA,3.855,NA,3.855,2.05,27.16,3.21,(0.70),"8,457.82",1.93,1.67,5.05,8.34,(3.91),,,,,,,,,,,,,,
2024,Bosnia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,#DIV/0!,2.60,29.34,3.19,(0.51),"9,186.25",2.50,2.30,2.85,8.57,1.72,,,,,,,,,,,,,,
2009,Georgia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,#DIV/0!,(3.65),11.33,3.86,(0.63),"2,937.99",0.40,(8.93),(31.30),3.83,NA,,,,,,,,,,,,,,
2010,Georgia,0.00,0.00,0,NA,#VALUE!,NA,17.5,14.9,16.2,6.25,12.24,3.84,(0.48),"3,190.97",(3.16),(8.47),34.04,5.14,NA,,,,,,,,,,,,,,
2011,Georgia,250.00,26.86,2,NA,#VALUE!,NA,16,15,15.5,7.36,15.11,3.82,(0.40),"3,953.12",8.96,(3.29),14.89,5.90,10.83,,,,,,,,,,,,,,
2012,Georgia,224.68,24.14,1,NA,#VALUE!,NA,15,13,14,6.42,16.49,3.80,(0.45),"4,334.20",4.18,3.30,6.04,6.26,11.86,,,,,,,,,,,,,,
2013,Georgia,0.00,0.00,0,NA,#VALUE!,NA,12.9,11.4,12.15,3.62,17.19,3.79,(0.48),"4,540.39",2.54,3.80,(10.41),5.61,6.26,,,,,,,,,,,,,,
2014,Georgia,255.90,27.50,1,NA,#VALUE!,NA,11.6,10.2,10.9,4.44,17.63,3.77,(0.31),"4,670.45",5.72,9.03,26.96,7.12,2.18,,,,,,,,,,,,,,
2015,Georgia,200.00,21.49,1,NA,#VALUE!,NA,13,10,11.5,3.03,14.95,3.77,(0.08),"3,965.30",3.79,4.35,16.08,8.26,(5.94),,,,,,,,,,,,,,
2016,Georgia,0.00,0.00,1,NA,#VALUE!,NA,10.2,9.6,9.9,2.91,15.14,3.77,0.00,"4,015.16",(5.66),10.87,7.27,8.86,4.46,,,,,,,,,,,,,,
2017,Georgia,0.12,0.01,1,NA,#VALUE!,NA,10.4,9.3,9.85,4.84,16.24,3.77,0.02,"4,306.23",7.39,1.08,3.36,9.16,3.57,,,,,,,,,,,,,,
2018,Georgia,0.00,0.00,0,NA,#VALUE!,NA,10.5,9.3,9.9,4.84,17.60,3.77,0.01,"4,665.45",5.81,1.61,1.92,9.34,3.42,,,,,,,,,,,,,,
2019,Georgia,0.12,0.01,1,NA,#VALUE!,NA,9.9,8.7,9.3,4.98,17.47,3.77,(0.04),"4,634.18",7.21,5.72,(0.08),9.33,3.76,,,,,,,,,,,,,,
2020,Georgia,0.00,0.00,0,NA,#VALUE!,NA,9.3,8.4,8.85,(6.76),15.84,3.77,(0.13),"4,206.62",8.77,7.12,(16.54),7.79,(6.22),,,,,,,,,,,,,,
2021,Georgia,0.00,0.00,0,NA,#VALUE!,NA,9.9,9.1,9.5,10.47,18.62,3.76,(0.21),"4,955.04",14.46,7.78,(7.35),7.22,15.74,,,,,,,,,,,,,,
2022,Georgia,0.00,0.00,0,NA,#VALUE!,NA,11,10.8,10.9,10.11,24.60,3.74,(0.36),"6,569.31",(1.85),(4.64),19.79,8.64,15.35,,,,,,,,,,,,,,
2023,Georgia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,NA,7.46,29.76,3.73,(0.43),"7,982.16",18.30,0.93,3.50,8.95,6.47,,,,,,,,,,,,,,
2024,Georgia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,NA,6.28,31.00,3.72,(0.29),"8,340.21",6.28,2.86,3.00,9.22,4.50,,,,,,,,,,,,,,
2009,North Macedonia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,8.91,(0.36),9.40,2.04,0.05,"4,604.18",(3.30),0.16,2.68,88.98,(8.67),,,,,,,,,,,,,,
2010,North Macedonia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,7.30,3.36,9.41,2.09,2.54,"4,492.80",3.77,(3.62),(4.03),85.39,(4.84),,,,,,,,,,,,,,
2011,North Macedonia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,7.04,2.34,10.49,2.10,0.16,"5,004.36",(5.35),1.19,13.29,96.74,6.94,,,,,,,,,,,,,,
2012,North Macedonia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,6.63,(0.46),9.75,2.10,0.11,"4,641.75",1.20,2.43,6.45,102.99,(2.77),,,,,,,,,,,,,,
2013,North Macedonia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,6.34,2.93,10.82,2.10,0.13,"5,145.86",1.86,0.49,3.46,106.55,3.23,,,,,,,,,,,,,,
2014,North Macedonia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,6.52,3.63,11.36,2.11,0.15,"5,397.00",2.19,3.02,4.00,110.82,4.78,,,,,,,,,,,,,,
2015,North Macedonia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,5.53,3.86,10.06,2.11,0.13,"4,774.53",4.43,3.92,10.47,122.42,4.93,,,,,,,,,,,,,,
2016,North Macedonia,0.00,0.00,0,9.57,0.105,NA,NA,NA,4.73,2.85,10.67,2.11,0.11,"5,057.56",3.88,(4.89),9.87,134.50,3.35,,,,,,,,,,,,,,
2017,North Macedonia,0.00,0.00,0,2.53,0.396,NA,NA,NA,4.35,1.08,11.31,2.11,0.08,"5,353.78",2.09,(2.56),(5.66),126.89,0.19,,,,,,,,,,,,,,
2018,North Macedonia,0.00,0.00,0,2.53,0.396,NA,NA,NA,4.09,2.72,12.68,2.11,0.07,"6,000.99",3.67,2.02,(6.40),118.77,5.42,,,,,,,,,,,,,,
2019,North Macedonia,0.00,0.00,0,19.81,0.050,NA,NA,NA,3.78,3.34,12.61,2.11,0.03,"5,963.23",3.52,(1.26),8.69,129.09,3.71,,,,,,,,,,,,,,
2020,North Macedonia,0.00,0.00,0,18.04,0.055,NA,NA,NA,3.72,(5.44),12.36,2.11,(0.15),"5,855.97",(4.57),9.91,0.40,129.61,(9.57),,,,,,,,,,,,,,
2021,North Macedonia,0.00,0.00,0,19.28,0.052,NA,NA,NA,3.66,5.51,13.83,2.10,(0.37),"6,575.20",9.49,2.71,5.20,136.34,1.44,,,,,,,,,,,,,,
2022,North Macedonia,0.00,0.00,0,13.10,0.076,NA,NA,NA,3.47,2.15,13.71,2.09,(0.46),"6,547.74",3.09,(2.61),2.50,139.75,(0.24),,,,,,,,,,,,,,
2023,North Macedonia,0.00,0.00,0,13.99,0.071,NA,NA,NA,4.46,1.62,15.62,2.09,(0.38),"7,490.91",2.06,(3.46),1.00,141.15,0.65,,,,,,,,,,,,,,
2024,North Macedonia,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,5.17,2.44,16.92,2.08,(0.14),"8,125.04",2.60,(3.30),2.90,145.24,1.76,,,,,,,,,,,,,,
2009,Serbia,0.00,0.00,0,5.6237,0.178,NA,NA,NA,NA,(2.73),45.16,7.32,(0.40),"6,169.11",(3.35),(1.67),(22.52),727.63,(12.86),,,,,,,,,,,,,,
2010,Serbia,0.00,0.00,0,208.3945,0.005,NA,NA,NA,16.49,0.73,41.82,7.29,(0.40),"5,735.42",(0.61),(0.05),(6.51),680.30,1.34,,,,,,,,,,,,,,
2011,Serbia,0.00,0.00,0,6.8778,0.145,NA,NA,NA,17.99,2.04,49.26,7.26,(0.45),"6,786.03",1.41,1.57,4.67,712.05,2.60,,,,,,,,,,,,,,
2012,Serbia,0.00,0.00,0,6.3835,0.157,NA,NA,NA,14.25,(0.68),43.31,7.20,(0.82),"6,015.95",(1.70),0.39,13.91,811.12,(2.67),,,,,,,,,,,,,,
2013,Serbia,0.00,0.00,0,6.7535,0.148,NA,NA,NA,15.1,2.89,48.39,7.16,(0.49),"6,755.08",(1.69),(2.11),(11.95),714.15,6.12,,,,,,,,,,,,,,
2014,Serbia,0.00,0.00,1,8.6036,0.116,NA,NA,NA,15.39,(1.59),47.06,7.13,(0.45),"6,598.94",(0.10),0.95,(3.44),689.55,(7.36),,,,,,,,,,,,,,
2015,Serbia,0.00,0.00,0,11.2099,0.089,NA,NA,NA,15.39,1.81,39.66,7.10,(0.51),"5,588.98",(0.64),(3.70),6.20,732.28,7.14,,,,,,,,,,,,,,
2016,Serbia,0.00,0.00,0,156.8351,0.006,NA,NA,NA,5.92,3.34,40.69,7.06,(0.52),"5,765.20",1.89,0.02,5.08,769.49,4.96,,,,,,,,,,,,,,
2017,Serbia,0.00,0.00,0,8.1075,0.123,NA,6.12,5.19,6.06,2.10,44.18,7.02,(0.53),"6,292.55",2.21,2.93,6.64,820.60,4.10,,,,,,,,,,,,,,
2018,Serbia,7.26,98.37,2,957.4533,0.001,NA,5.11,4.6,4.9,4.50,50.64,6.98,(0.54),"7,252.40",3.12,3.74,17.52,964.35,1.32,,,,,,,,,,,,,,
2019,Serbia,0.00,0.00,0,927.071,0.001,NA,5.44,3.56,4.03,4.33,51.51,6.95,(0.54),"7,417.23",3.67,1.94,17.23,"1,130.48",0.40,,,,,,,,,,,,,,
2020,Serbia,0.00,0.00,0,13.5684,0.074,NA,4.46,2.27,2.85,(0.90),53.36,6.90,(0.66),"7,733.80",(1.87),2.81,(1.90),"1,108.99",(0.16),,,,,,,,,,,,,,
2021,Serbia,0.12,1.63,1,15.7895,0.063,NA,3.72,1.53,2.22,7.73,63.10,6.83,(0.94),"9,232.96",7.82,4.14,15.70,"1,283.13",6.81,,,,,,,,,,,,,,
2022,Serbia,0.00,0.00,0,5.4011,0.185,NA,4.07,2.19,2.91,2.55,63.56,6.80,(0.51),"9,348.47",3.96,0.36,1.87,"1,307.08",1.64,,,,,,,,,,,,,,
2023,Serbia,0.00,0.00,0,568.886,0.002,NA,8.27,7.64,8.09,2.54,74.80,6.76,(0.55),"11,063.09",0.85,(1.29),3.75,"1,356.06",2.32,,,,,,,,,,,,,,
2024,Serbia,0.00,0.00,0,NA,#VALUE!,NA,8.12,7.95,8.32,2.78,80.87,6.72,(0.58),"12,029.05",3.89,(0.78),4.86,"1,421.95",2.86,,,,,,,,,,,,,,
2009,Turkey,390.63,2.34,4,9.0615,0.110,"52,825.02",NA,NA,6.25,(4.84),649.29,72.23,1.27,"8,989.74",(3.87),8.13,(20.54),223.71,(9.88),,,,,,,,,,,,,,
2010,Turkey,"2,421.00",14.48,42,11.4533,0.087,"66,004.48",NA,NA,4.10,8.59,776.97,73.20,1.34,"10,614.98",11.25,1.65,21.96,272.85,13.11,,,,,,,,,,,,,,
2011,Turkey,"1,789.33",10.70,47,10.3478,0.097,"51,266.62",NA,NA,5.01,10.98,838.79,74.17,1.34,"11,308.37",11.82,1.06,23.68,337.44,15.37,,,,,,,,,,,,,,
2012,Turkey,338.88,2.03,42,12.1533,0.082,"78,208.44",NA,NA,5.19,4.76,880.56,75.28,1.49,"11,697.47",3.14,6.75,2.86,347.10,4.33,,,,,,,,,,,,,,
2013,Turkey,850.77,5.09,32,9.757,0.102,"67,801.73",NA,NA,3.99,8.68,957.80,76.58,1.73,"12,507.80",7.92,8.08,14.24,396.54,6.56,,,,,,,,,,,,,,
2014,Turkey,309.95,1.85,18,12.6457,0.079,"85,721.13",NA,NA,3.76,4.89,938.93,78.11,2.01,"12,020.35",2.96,3.22,4.91,416.01,5.89,,,,,,,,,,,,,,
2015,Turkey,357.60,2.14,10,10.7357,0.093,"71,726.99",NA,NA,3.44,5.98,864.31,79.65,1.96,"10,851.92",5.07,3.81,9.28,454.62,6.11,,,,,,,,,,,,,,
2016,Turkey,119.93,0.72,4,8.7757,0.114,"78,138.66",NA,NA,3.73,3.32,869.68,81.02,1.72,"10,734.26",3.80,9.23,2.21,464.65,3.41,,,,,,,,,,,,,,
2017,Turkey,806.68,4.82,6,10.1437,0.099,"115,333.01",NA,NA,3.79,7.46,858.99,82.09,1.32,"10,464.01",5.76,5.37,8.26,503.01,9.05,,,,,,,,,,,,,,
2018,Turkey,"1,283.44",7.67,7,6.8968,0.145,"91,270.48",NA,NA,4.85,3.08,778.97,82.81,0.88,"9,406.82",0.76,5.73,0.14,503.74,1.09,,,,,,,,,,,,,,
2019,Turkey,45.65,0.27,7,8.0698,0.124,"114,424.96",NA,NA,4.62,0.81,760.57,83.48,0.81,"9,110.66",1.63,3.79,(12.47),440.91,(0.60),,,,,,,,,,,,,,
2020,Turkey,161.64,0.97,15,14.9218,0.067,"147,672.00",NA,NA,3.29,1.74,719.50,84.14,0.78,"8,551.73",2.85,2.16,7.33,473.22,2.18,,,,,,,,,,,,,,
2021,Turkey,"3,220.62",19.26,66,7.5555,0.132,"185,765.00",NA,NA,3.24,11.79,818.85,84.78,0.76,"9,659.03",15.97,3.22,7.23,507.43,16.46,,,,,,,,,,,,,,
2022,Turkey,789.99,4.72,27,6.2915,0.159,"550,916.00",NA,NA,6.26,5.31,905.79,85.34,0.67,"10,613.76",18.60,4.31,1.27,513.87,5.01,,,,,,,,,,,,,,
2023,Turkey,"3,110.86",18.60,53,5.8026,0.172,"747,018.00",NA,NA,8.85,4.47,"1,104.64",85.82,0.56,"12,872.15",12.69,5.24,8.89,559.53,1.61,,,,,,,,,,,,,,
2024,Turkey,726.35,4.34,11,NA,#VALUE!,NA,NA,NA,8.13,2.51,"1,091.36",86.26,0.52,"12,651.87",1.60,3.08,1.85,569.91,1.83,,,,,,,,,,,,,,
2009,Ukraine,0.00,0.00,1,87.31,0.011,NA,NA,NA,18.3,(15.14),121.55,45.86,(0.43),"2,650.28",(14.89),(1.91),(49.61),678.13,(20.65),,,,,,,,,,,,,,
2010,Ukraine,309.59,17.05,16,246.77,0.004,NA,NA,NA,14.6,0.27,136.01,45.68,(0.39),"2,977.31",6.40,(1.19),(5.93),637.90,12.16,,,,,,,,,,,,,,
2011,Ukraine,157.68,8.69,17,15.79,0.063,NA,NA,NA,14.3,5.47,163.16,45.52,(0.37),"3,584.67",15.53,(2.85),8.51,692.16,7.86,,,,,,,,,,,,,,
2012,Ukraine,7.69,0.42,2,4.86,0.206,NA,NA,NA,15.5,0.24,175.78,45.41,(0.24),"3,871.29",8.03,4.52,4.98,726.62,(0.65),,,,,,,,,,,,,,
2013,Ukraine,24.18,1.33,3,10.90,0.092,NA,NA,NA,14.4,(0.03),183.31,45.31,(0.22),"4,045.95",6.89,(0.91),(8.37),665.84,(4.32),,,,,,,,,,,,,,
2014,Ukraine,"1,316.01",72.49,3,16.34,0.061,NA,NA,NA,15,(6.55),133.50,45.15,(0.35),"2,957.02",(8.03),1.15,(23.98),506.18,(11.14),,,,,,,,,,,,,,
2015,Ukraine,0.17,0.01,1,30.55,0.033,NA,NA,NA,17.5,(9.77),91.03,44.98,(0.37),"2,023.69",(19.54),1.72,(9.19),459.64,(12.25),,,,,,,,,,,,,,
2016,Ukraine,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,15.9,2.44,93.36,44.83,(0.33),"2,082.28",2.67,(0.52),20.44,553.59,3.97,,,,,,,,,,,,,,
2017,Ukraine,0.00,0.00,0,11.27,0.089,NA,NA,NA,14.6,2.36,112.09,44.66,(0.39),"2,510.02",9.24,5.16,16.06,642.53,1.12,,,,,,,,,,,,,,
2018,Ukraine,0.00,0.00,2,7.80,0.128,NA,NA,NA,17.2,3.49,130.89,44.45,(0.47),"2,944.88",9.32,(0.08),16.59,749.12,3.02,,,,,,,,,,,,,,
2019,Ukraine,0.00,0.00,1,7.62,0.131,NA,NA,NA,17,3.20,153.95,44.21,(0.53),"3,482.09",10.94,(13.61),11.73,836.98,(0.49),,,,,,,,,,,,,,
2020,Ukraine,0.00,0.00,2,7.43,0.135,NA,NA,NA,13.1,(3.75),156.62,43.91,(0.68),"3,566.97",1.66,(0.73),(21.35),658.31,(4.49),,,,,,,,,,,,,,
2021,Ukraine,0.00,0.00,0,2.60,0.384,NA,NA,NA,12.2,3.45,199.81,43.53,(0.86),"4,589.92",6.75,0.82,9.34,719.77,1.92,,,,,,,,,,,,,,
2022,Ukraine,0.00,0.00,0,29.49,0.034,NA,NA,NA,16.2,(28.76),162.20,39.70,(8.80),"4,085.41",(27.50),31.39,(33.85),476.10,(36.73),,,,,,,,,,,,,,
2023,Ukraine,0.00,0.00,0,35.07,0.029,NA,NA,NA,16.8,5.32,178.76,36.74,(7.45),"4,865.01",6.10,9.02,52.94,728.16,5.95,,,,,,,,,,,,,,
2024,Ukraine,0.00,0.00,0,NA,#VALUE!,NA,NA,NA,NA,4.33,343.61,36.90,0.42,"9,311.90",6.59,7.40,2.20,744.18,6.16,,,,,,,,,,,,,,
