Year,Country,"Proceeds_Amount_+_Over_Sold_This_Market_(USD,_mln)",IPO_market_share,IPOs_Number_of_Issues,P/E_Ratio,E/P_ratio,Exchange_rate,Stock_Market_Index,Interest_rate_up_to_1_mln,Interest_rate_over_€1M,Aver_interest_rate_to_nonfinance,"Real GDP (USD, b)",Real_GDP_Growth_(%),Nominal_GDP_($B),Population_(M),Population_Growth_(%),GDP_Per_Capita_($),Real_Private_Consumption_Growth_(%),Real_Government_Consumption_Growth_(%),Real_Gross_Fixed_Investment_Growth_(%),Industrial_Production_Growth_(%),Unnamed: 37
2011,Ukraine,157.68,8.69,17,15.79,0.06,0.719158754470168,,14.3,14.3,14.3,162.7,5.47,163.16,45.52,(0.37),"3,584.67",15.53,-2.85,8.51,7.86,
2012,Ukraine,7.69,0.42,2,4.86,0.21,0.778006210395884,,15.5,15.5,15.5,163.08,0.24,175.78,45.41,(0.24),"3,871.29",8.03,4.52,4.98,-0.65,
2013,Ukraine,24.18,1.33,3,10.9,0.09,0.753297658306669,,14.4,14.4,14.4,163.04,-0.03,183.31,45.31,(0.22),"4,045.95",6.89,-0.91,-8.37,-4.32,
2014,Ukraine,"1,316.01",72.49,3,16.34,0.06,0.753695140645586,,15.0,15.0,15,152.36,-6.55,133.50,45.15,(0.35),"2,957.02",-8.03,1.15,-23.98,-11.14,
2015,Ukraine,0.17,0.01,1,30.55,0.03,0.901451643908024,,17.5,17.5,17.5,137.47,-9.77,91.03,44.98,(0.37),"2,023.69",-19.54,1.72,-9.19,-12.25,
2016,Ukraine,0.00,0.0,0,,#VALUE!,0.904281526915114,,15.9,15.9,15.9,140.82,2.44,93.36,44.83,(0.33),"2,082.28",2.67,-0.52,20.44,3.97,
2017,Ukraine,0.00,0.0,0,11.27,0.09,0.887107173889516,,14.6,14.6,14.6,144.15,2.36,112.09,44.66,(0.39),"2,510.02",9.24,5.16,16.06,1.12,
2018,Ukraine,0.00,0.0,2,7.8,0.13,0.847324485146496,,17.2,17.2,17.2,149.17,3.49,130.89,44.45,(0.47),"2,944.88",9.32,-0.08,16.59,3.02,
2019,Ukraine,0.00,0.0,1,7.62,0.13,0.893348371188594,,17.0,17.0,17,153.95,3.20,153.95,44.21,(0.53),"3,482.09",10.94,-13.61,11.73,-0.49,
2020,Ukraine,0.00,0.0,2,7.43,0.13,0.877541570440429,,13.1,13.1,13.1,148.17,-3.75,156.62,43.91,(0.68),"3,566.97",1.66,-0.73,-21.35,-4.49,
2021,Ukraine,0.00,0.0,0,2.6,0.38,0.845553392731664,,12.2,12.2,12.2,153.28,3.45,199.81,43.53,(0.86),"4,589.92",6.75,0.82,9.34,1.92,
2022,Ukraine,0.00,0.0,0,29.49,0.03,0.950882523746784,,16.2,16.2,16.2,109.2,-28.76,162.20,39.7,(8.80),"4,085.41",-27.5,31.39,-33.85,-36.73,
